Feature Size,Count
1,63593796
3,10101306
6,1369259997
10,6883380
15,6333908
21,2142982
28,322184
36,1197656
45,22034
55,17961
66,11022
78,2171
91,3255
105,1063
120,716
136,342
153,77
171,67
190,50
210,28
231,16
253,9
276,16
300,2
378,1
406,1
